epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.134875,0.476147,1.049898,0.75,0.742864,42.348
1,0.744823,0.82186,0.632799,0.836957,0.836024,39.911
2,0.506567,0.869263,0.495292,0.866848,0.865983,40.121
3,0.383976,0.897343,0.456802,0.869565,0.869711,40.088
4,0.330405,0.910024,0.433407,0.861413,0.863327,40.257
5,0.27348,0.927234,0.388551,0.896739,0.897964,39.576
6,0.25105,0.93599,0.369036,0.875,0.875795,41.874
7,0.219494,0.940519,0.386637,0.88587,0.887116,42.18
8,0.192773,0.942935,0.382715,0.869565,0.870453,41.875
9,0.172906,0.95471,0.356291,0.883152,0.881432,40.357
10,0.162141,0.959239,0.351859,0.883152,0.883619,40.455
11,0.14268,0.964372,0.371637,0.888587,0.889757,40.988
12,0.132962,0.964674,0.357378,0.88587,0.886266,40.77
13,0.124449,0.967391,0.369236,0.883152,0.882469,40.581
14,0.114964,0.968901,0.339988,0.907609,0.907252,41.073
15,0.113367,0.97343,0.381832,0.880435,0.880163,39.924
16,0.100369,0.974638,0.348903,0.888587,0.888714,40.334
17,0.093049,0.977657,0.367797,0.88587,0.884218,40.569
18,0.08798,0.978261,0.386047,0.877717,0.877378,39.53
19,0.083173,0.980072,0.380353,0.875,0.874201,40.27
20,0.075579,0.982186,0.377688,0.894022,0.894105,38.747
21,0.077107,0.980072,0.413316,0.872283,0.871628,42.56
22,0.073619,0.983394,0.37241,0.891304,0.890699,38.375
23,0.064293,0.986715,0.362299,0.888587,0.887644,38.026
24,0.059056,0.987319,0.372844,0.896739,0.897009,38.157
25,0.053077,0.987621,0.384881,0.894022,0.893463,39.583
26,0.061004,0.985809,0.398966,0.880435,0.879655,38.838
27,0.05702,0.986413,0.389879,0.888587,0.887173,39.512
28,0.061055,0.983998,0.407978,0.883152,0.881574,40.707
29,0.050522,0.98913,0.375462,0.888587,0.888755,40.994
