epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.90444,0.054054,3.780267,0.021739,0.01037,6.038
1,3.65926,0.054054,3.652085,0.043478,0.026319,6.193
2,3.478439,0.054054,3.54246,0.070652,0.049796,6.21
3,3.174485,0.162162,3.442741,0.089674,0.06566,5.982
4,2.930126,0.297297,3.348355,0.11413,0.088459,6.006
5,2.688686,0.486486,3.255626,0.141304,0.110345,5.89
6,2.384249,0.756757,3.162658,0.171196,0.137403,5.995
7,2.233833,0.918919,3.067561,0.203804,0.179313,5.897
8,1.94295,0.945946,2.972795,0.247283,0.223005,5.963
9,1.779187,0.918919,2.876747,0.274457,0.251196,5.965
10,1.519514,1.0,2.781163,0.320652,0.299335,6.06
11,1.265834,1.0,2.685913,0.331522,0.313542,6.019
12,1.108883,1.0,2.591617,0.345109,0.330331,6.279
13,0.904761,1.0,2.502009,0.369565,0.352831,6.057
14,0.742241,1.0,2.416921,0.377717,0.357128,6.296
15,0.587001,1.0,2.343014,0.388587,0.367952,6.522
16,0.512621,1.0,2.280233,0.388587,0.366756,5.896
17,0.414066,1.0,2.227031,0.396739,0.371914,5.884
18,0.335715,1.0,2.186167,0.394022,0.367181,5.932
19,0.313764,1.0,2.15726,0.404891,0.380756,6.325
20,0.241796,1.0,2.135841,0.404891,0.379908,6.222
21,0.18846,1.0,2.118528,0.404891,0.374363,7.407
22,0.153046,1.0,2.107323,0.394022,0.363311,5.92
23,0.133992,1.0,2.103009,0.391304,0.361602,5.905
24,0.12402,1.0,2.102816,0.38587,0.358139,5.94
25,0.096751,1.0,2.102722,0.38587,0.358259,5.984
26,0.087762,1.0,2.103098,0.388587,0.36141,5.975
27,0.074785,1.0,2.104157,0.388587,0.360986,5.805
28,0.066999,1.0,2.106156,0.394022,0.370182,6.685
29,0.06141,1.0,2.108828,0.394022,0.369994,5.902
