epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.958226,0.027027,3.923004,0.01087,0.003432,5.943
1,3.928251,0.054054,3.910734,0.01087,0.003227,5.85
2,3.907815,0.081081,3.896053,0.013587,0.003861,5.866
3,3.911527,0.054054,3.878048,0.013587,0.003807,5.815
4,3.883768,0.054054,3.859466,0.016304,0.006986,5.871
5,3.852266,0.054054,3.83867,0.013587,0.005665,5.856
6,3.836561,0.054054,3.816887,0.016304,0.010065,5.916
7,3.802689,0.0,3.79516,0.016304,0.010127,5.877
8,3.78161,0.054054,3.774325,0.021739,0.013467,5.837
9,3.771711,0.0,3.755059,0.032609,0.019354,5.981
10,3.689565,0.081081,3.736859,0.032609,0.020299,5.876
11,3.649653,0.054054,3.720941,0.032609,0.019911,5.893
12,3.636056,0.027027,3.704087,0.029891,0.019737,5.894
13,3.677799,0.027027,3.685796,0.024457,0.015821,5.842
14,3.55354,0.054054,3.66577,0.027174,0.017534,5.823
15,3.526173,0.054054,3.643892,0.027174,0.019406,5.862
16,3.534419,0.027027,3.620687,0.027174,0.019982,5.899
17,3.453967,0.054054,3.594741,0.040761,0.031141,5.879
18,3.422877,0.108108,3.56759,0.05163,0.039377,5.828
19,3.388217,0.081081,3.538804,0.054348,0.041968,5.933
20,3.272371,0.135135,3.50958,0.059783,0.044928,5.9
21,3.269046,0.135135,3.479381,0.067935,0.047568,5.93
22,3.138356,0.243243,3.448375,0.076087,0.050391,5.821
23,3.093931,0.162162,3.416069,0.081522,0.055261,5.855
24,3.016947,0.216216,3.381883,0.089674,0.063189,5.817
25,2.966091,0.216216,3.34762,0.086957,0.060432,5.982
26,2.908061,0.243243,3.310578,0.089674,0.064329,5.849
27,2.827322,0.324324,3.272716,0.095109,0.070034,5.937
28,2.781087,0.324324,3.234764,0.100543,0.075097,5.846
29,2.668074,0.351351,3.195184,0.119565,0.087297,5.885
