epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.493815,0.42814,1.496992,0.706522,0.692903,33.664
1,1.125223,0.793176,0.908263,0.820652,0.823817,32.268
2,0.757684,0.855374,0.706155,0.853261,0.850734,33.432
3,0.597916,0.874396,0.625641,0.842391,0.841793,33.652
4,0.515748,0.887983,0.555907,0.839674,0.838181,33.263
5,0.435676,0.906703,0.518579,0.866848,0.866908,32.532
6,0.410663,0.906703,0.4994,0.86413,0.864642,33.349
7,0.363793,0.912138,0.493401,0.850543,0.851044,33.77
8,0.342253,0.914553,0.447662,0.877717,0.877103,33.027
9,0.312835,0.926027,0.458116,0.861413,0.862695,33.53
10,0.288403,0.930857,0.431837,0.869565,0.870731,34.431
11,0.281812,0.932971,0.451034,0.869565,0.867748,32.882
12,0.269297,0.935085,0.423046,0.869565,0.870839,35.469
13,0.249914,0.939312,0.446273,0.855978,0.857543,32.87
14,0.239223,0.942029,0.425809,0.855978,0.858078,32.571
15,0.225246,0.945652,0.405038,0.861413,0.861917,33.155
16,0.215866,0.948973,0.421664,0.86413,0.864207,32.659
17,0.200487,0.954106,0.410733,0.869565,0.870461,34.439
18,0.207345,0.949577,0.395847,0.872283,0.874153,34.535
19,0.196815,0.950483,0.432023,0.855978,0.856202,34.27
