epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.935851,0.027027,3.925816,0.013587,0.006705,6.036
1,3.923397,0.027027,3.916904,0.01087,0.00318,5.928
2,3.953888,0.054054,3.907609,0.013587,0.004635,5.901
3,3.876127,0.027027,3.897685,0.013587,0.004641,5.983
4,3.915107,0.081081,3.886247,0.016304,0.005392,5.968
5,3.912872,0.081081,3.873982,0.019022,0.009011,5.877
6,3.921165,0.081081,3.860797,0.021739,0.008994,5.886
7,3.876881,0.054054,3.846603,0.021739,0.008592,5.853
8,3.781604,0.081081,3.832296,0.024457,0.00928,6.095
9,3.792721,0.081081,3.817594,0.024457,0.010113,5.912
10,3.763396,0.027027,3.804229,0.019022,0.010199,5.855
11,3.892416,0.0,3.792134,0.021739,0.01212,5.826
12,3.753443,0.054054,3.781429,0.019022,0.011623,5.822
13,3.735163,0.027027,3.773242,0.016304,0.012273,5.902
14,3.704291,0.0,3.765541,0.019022,0.01434,5.837
15,3.757513,0.027027,3.758865,0.019022,0.014528,5.904
16,3.73897,0.027027,3.751781,0.019022,0.014419,5.984
17,3.742073,0.027027,3.743893,0.021739,0.01627,5.899
18,3.675604,0.054054,3.735323,0.021739,0.015987,5.858
19,3.679569,0.054054,3.724055,0.024457,0.01728,5.887
20,3.675316,0.027027,3.712043,0.027174,0.018863,5.864
21,3.583913,0.081081,3.699174,0.027174,0.018921,5.883
22,3.588927,0.054054,3.685445,0.029891,0.01951,5.86
23,3.566635,0.054054,3.670958,0.029891,0.019144,5.843
24,3.502047,0.054054,3.655503,0.038043,0.026018,5.897
25,3.463354,0.081081,3.639806,0.043478,0.029131,5.918
26,3.431724,0.081081,3.623127,0.048913,0.033264,5.818
27,3.487574,0.081081,3.605798,0.054348,0.03708,5.836
28,3.375562,0.081081,3.587522,0.0625,0.04111,5.987
29,3.356889,0.162162,3.568554,0.065217,0.042363,5.856
