epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.148981,0.532307,1.00648,0.796196,0.788162,74.3
1,0.729407,0.871377,0.638884,0.875,0.875232,70.858
2,0.410703,0.927536,0.451294,0.894022,0.892923,70.175
3,0.254038,0.961353,0.394764,0.910326,0.910696,70.529
4,0.172673,0.97494,0.359829,0.894022,0.893702,71.52
5,0.11207,0.987621,0.335956,0.913043,0.913027,70.722
6,0.086104,0.993056,0.345655,0.896739,0.897748,71.789
7,0.060731,0.995773,0.325347,0.899457,0.900598,70.915
8,0.042434,0.99849,0.295348,0.907609,0.907482,974.291
9,0.035523,0.997585,0.339478,0.894022,0.893835,72.011
10,0.02977,0.998792,0.314161,0.899457,0.899575,972.618
11,0.026055,0.99849,0.308818,0.894022,0.89471,67.859
12,0.020393,0.999094,0.308415,0.904891,0.903952,68.78
13,0.017221,0.999698,0.323861,0.907609,0.906724,67.824
14,0.015816,0.999094,0.301598,0.910326,0.91005,67.91
15,0.011885,0.999698,0.29304,0.904891,0.903837,67.808
16,0.010881,1.0,0.323617,0.904891,0.9043,67.698
17,0.009033,1.0,0.27788,0.910326,0.910632,67.827
18,0.008783,0.999698,0.285038,0.907609,0.907391,68.476
19,0.009284,0.999396,0.307324,0.899457,0.899378,67.982
20,0.018305,0.996679,0.335653,0.894022,0.894509,67.776
21,0.013312,0.997886,0.337403,0.891304,0.890985,67.949
22,0.015943,0.997585,0.333478,0.888587,0.886791,67.99
23,0.012365,0.999396,0.318978,0.894022,0.893321,67.844
24,0.010888,0.999094,0.326469,0.88587,0.88601,68.055
25,0.01246,0.99849,0.288383,0.891304,0.891344,68.218
26,0.007892,1.0,0.309097,0.910326,0.910356,67.885
27,0.008597,0.999094,0.336948,0.88587,0.885103,67.91
28,0.00861,0.998792,0.325208,0.904891,0.905752,67.901
29,0.005806,1.0,0.297995,0.913043,0.913365,68.801
