epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.857927,0.03012,3.829021,0.016304,0.006435,9.94
1,3.770926,0.039157,3.762496,0.013587,0.010717,9.428
2,3.711877,0.060241,3.701955,0.029891,0.019728,9.207
3,3.63903,0.057229,3.645754,0.040761,0.028,9.317
4,3.580275,0.063253,3.595745,0.0625,0.048184,9.325
5,3.53424,0.072289,3.540701,0.078804,0.06124,9.366
6,3.452498,0.075301,3.486995,0.084239,0.067028,9.506
7,3.408548,0.11747,3.430089,0.100543,0.079219,9.513
8,3.320258,0.129518,3.371511,0.119565,0.096883,9.458
9,3.282497,0.14759,3.30812,0.138587,0.112293,9.402
10,3.213339,0.180723,3.244648,0.168478,0.133549,9.384
11,3.141256,0.210843,3.180882,0.17663,0.143042,9.352
12,3.049088,0.256024,3.115829,0.201087,0.17035,9.29
13,2.952751,0.289157,3.042338,0.214674,0.182107,9.752
14,2.897694,0.313253,2.971681,0.230978,0.198124,9.872
15,2.831293,0.36747,2.894454,0.252717,0.220971,9.887
16,2.748343,0.39759,2.812023,0.277174,0.248821,9.811
17,2.675334,0.427711,2.734509,0.298913,0.271927,9.613
18,2.57673,0.418675,2.6643,0.3125,0.288037,9.665
19,2.483276,0.518072,2.585122,0.358696,0.34255,9.844
20,2.403026,0.548193,2.527331,0.380435,0.367575,9.76
21,2.352066,0.590361,2.461294,0.423913,0.410605,9.978
22,2.284559,0.596386,2.393749,0.459239,0.44971,9.085
23,2.210288,0.638554,2.32656,0.486413,0.470977,9.223
24,2.122799,0.668675,2.276218,0.502717,0.48667,9.092
25,2.071729,0.662651,2.230619,0.513587,0.496129,9.193
26,2.018005,0.689759,2.18376,0.538043,0.523667,9.235
27,1.964285,0.716867,2.143089,0.554348,0.539275,9.148
28,1.920788,0.725904,2.106986,0.559783,0.547492,9.01
29,1.865876,0.728916,2.071459,0.570652,0.557486,8.998
