epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.911113,0.027027,3.779576,0.024457,0.011708,6.291
1,3.646605,0.027027,3.646475,0.046196,0.030942,6.096
2,3.359814,0.108108,3.522123,0.081522,0.059431,6.152
3,3.146214,0.189189,3.397477,0.111413,0.084665,6.237
4,2.690708,0.648649,3.266438,0.133152,0.10226,6.029
5,2.474032,0.72973,3.12328,0.17663,0.14243,6.043
6,2.084696,0.837838,2.969837,0.244565,0.212016,6.313
7,1.793015,0.972973,2.807558,0.266304,0.244437,5.982
8,1.417811,1.0,2.651773,0.285326,0.267622,6.09
9,1.123152,1.0,2.516222,0.328804,0.312983,6.118
10,0.887517,1.0,2.414636,0.336957,0.321451,6.087
11,0.68075,1.0,2.351604,0.320652,0.30905,6.131
12,0.50829,1.0,2.326636,0.317935,0.305029,5.936
13,0.400947,1.0,2.315276,0.336957,0.326061,6.087
14,0.288477,1.0,2.318877,0.339674,0.331697,5.956
15,0.234194,1.0,2.328446,0.334239,0.322923,6.014
16,0.186995,1.0,2.340961,0.336957,0.32328,5.972
17,0.147655,1.0,2.351048,0.334239,0.317884,6.072
18,0.105562,1.0,2.359934,0.331522,0.31555,6.017
19,0.086349,1.0,2.368019,0.328804,0.312423,6.035
20,0.072606,1.0,2.371022,0.334239,0.316662,5.905
21,0.057862,1.0,2.373638,0.336957,0.319495,6.175
22,0.055326,1.0,2.374268,0.350543,0.336304,6.028
23,0.039849,1.0,2.371293,0.347826,0.33421,6.026
24,0.040181,1.0,2.367941,0.339674,0.323987,6.269
25,0.030293,1.0,2.364465,0.342391,0.327396,6.096
26,0.029567,1.0,2.362332,0.334239,0.320223,6.021
27,0.023381,1.0,2.361559,0.334239,0.32137,6.162
28,0.021113,1.0,2.355785,0.345109,0.33157,6.011
29,0.019153,1.0,2.352244,0.345109,0.330301,6.041
