epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.955256,0.027027,3.927331,0.01087,0.003432,5.924
1,4.007444,0.054054,3.919422,0.01087,0.003276,5.887
2,3.95641,0.0,3.910384,0.01087,0.003227,5.887
3,3.873256,0.054054,3.902332,0.013587,0.004772,5.91
4,3.892503,0.081081,3.89286,0.016304,0.00555,5.897
5,3.956967,0.054054,3.883354,0.019022,0.009411,5.854
6,3.91359,0.054054,3.873012,0.019022,0.008586,5.856
7,3.874165,0.054054,3.861648,0.019022,0.008108,5.92
8,3.865454,0.027027,3.850508,0.019022,0.009095,5.891
9,3.862336,0.054054,3.838788,0.021739,0.011291,5.835
10,3.885458,0.027027,3.826823,0.019022,0.008395,5.94
11,3.865351,0.0,3.814951,0.019022,0.007619,5.824
12,3.840257,0.054054,3.803699,0.021739,0.009284,5.847
13,3.887634,0.027027,3.794295,0.024457,0.010032,5.796
14,3.823417,0.027027,3.78506,0.024457,0.012818,5.923
15,3.733341,0.054054,3.777236,0.024457,0.014855,5.869
16,3.779818,0.0,3.770179,0.024457,0.015719,5.831
17,3.791648,0.0,3.762295,0.021739,0.016637,5.954
18,3.779914,0.0,3.755232,0.024457,0.021089,5.824
19,3.729405,0.0,3.748131,0.024457,0.021263,5.885
20,3.730802,0.027027,3.739988,0.021739,0.01864,5.836
21,3.736728,0.0,3.731698,0.024457,0.020632,5.874
22,3.698629,0.0,3.721837,0.024457,0.020299,5.797
23,3.694743,0.0,3.71212,0.027174,0.023116,5.896
24,3.698859,0.0,3.702549,0.027174,0.022702,5.906
25,3.673801,0.027027,3.691713,0.027174,0.020193,6.078
26,3.615817,0.0,3.680919,0.027174,0.019631,5.881
27,3.606761,0.054054,3.66941,0.029891,0.022006,5.799
28,3.583678,0.054054,3.657495,0.032609,0.024113,5.883
29,3.615879,0.027027,3.644995,0.038043,0.026665,5.863
