epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.944459,0.054054,3.913783,0.013587,0.006612,10.96
1,3.934226,0.054054,3.893752,0.01087,0.003276,10.879
2,3.882026,0.081081,3.875326,0.016304,0.005555,10.844
3,3.838099,0.081081,3.858615,0.016304,0.005719,10.951
4,3.886451,0.081081,3.843406,0.019022,0.009883,10.962
5,3.842135,0.081081,3.7609,0.035326,0.01757,11.377
6,3.45013,0.135135,3.678254,0.048913,0.030892,11.009
7,3.056764,0.297297,3.59805,0.07337,0.04391,10.831
8,2.657248,0.540541,3.520769,0.086957,0.05552,10.914
9,2.446431,0.648649,3.447698,0.105978,0.068238,11.4
10,2.084265,0.891892,3.381099,0.127717,0.088297,11.203
11,1.740094,0.891892,3.319234,0.130435,0.08905,12.264
12,1.397797,1.0,3.263804,0.138587,0.094852,11.075
13,1.212177,1.0,3.21055,0.157609,0.112092,11.176
14,0.933785,1.0,3.16376,0.171196,0.126002,11.209
15,0.780485,1.0,3.129348,0.192935,0.156012,12.266
16,0.622838,1.0,3.088299,0.19837,0.163972,11.017
17,0.486969,1.0,3.046075,0.201087,0.168071,11.398
18,0.359737,1.0,3.005104,0.236413,0.207478,11.18
19,0.305589,1.0,2.97205,0.255435,0.234418,11.152
20,0.245511,1.0,2.945899,0.266304,0.243925,11.282
21,0.184079,1.0,2.922744,0.266304,0.247305,11.618
22,0.153848,1.0,2.901416,0.279891,0.257688,10.915
23,0.122299,1.0,2.883381,0.279891,0.25923,11.09
24,0.103471,1.0,2.867623,0.282609,0.261483,11.122
25,0.079086,1.0,2.853332,0.279891,0.260266,11.795
26,0.072762,1.0,2.842264,0.282609,0.266471,11.14
27,0.057177,1.0,2.830934,0.285326,0.270229,11.138
28,0.05124,1.0,2.821254,0.288043,0.272259,11.303
29,0.047413,1.0,2.813293,0.285326,0.270511,11.2
