epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.929649,0.081081,3.782707,0.024457,0.01361,6.148
1,3.653683,0.054054,3.656282,0.046196,0.03395,6.314
2,3.447518,0.108108,3.547547,0.076087,0.057786,6.172
3,3.138276,0.27027,3.448466,0.089674,0.069812,6.171
4,2.990649,0.324324,3.352844,0.119565,0.093399,6.24
5,2.737466,0.648649,3.25811,0.13587,0.108021,6.152
6,2.460289,0.648649,3.161849,0.157609,0.122978,6.193
7,2.203038,0.864865,3.063147,0.19837,0.170173,6.176
8,1.94565,0.918919,2.964234,0.241848,0.213003,6.352
9,1.735638,0.972973,2.862401,0.269022,0.242196,6.158
10,1.417717,1.0,2.759741,0.296196,0.271441,6.149
11,1.214517,1.0,2.660122,0.315217,0.29537,6.179
12,1.015446,1.0,2.5646,0.336957,0.315916,6.315
13,0.849784,1.0,2.475734,0.355978,0.341785,6.167
14,0.714377,1.0,2.399227,0.355978,0.346241,6.215
15,0.57788,1.0,2.33603,0.361413,0.352654,6.3
16,0.449869,1.0,2.289831,0.372283,0.360728,6.214
17,0.370827,1.0,2.254535,0.375,0.358346,6.158
18,0.321761,1.0,2.233053,0.377717,0.362303,6.169
19,0.226987,1.0,2.21766,0.380435,0.364723,6.175
20,0.205792,1.0,2.209204,0.388587,0.374164,6.154
21,0.191284,1.0,2.206143,0.383152,0.368871,6.279
22,0.149371,1.0,2.204234,0.375,0.361051,6.233
23,0.131522,1.0,2.204032,0.375,0.361814,6.219
24,0.094508,1.0,2.20432,0.36413,0.35147,6.136
25,0.08793,1.0,2.206939,0.369565,0.356432,6.563
26,0.079532,1.0,2.207668,0.375,0.361454,6.164
27,0.07251,1.0,2.211983,0.369565,0.355157,6.272
28,0.056627,1.0,2.216502,0.377717,0.362696,6.152
29,0.05655,1.0,2.221158,0.383152,0.369584,6.23
