epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,1.856836,0.530193,0.832412,0.771739,0.764946,40.731
1,0.57754,0.854167,0.54442,0.850543,0.85131,40.076
2,0.406076,0.88436,0.4829,0.850543,0.847257,39.995
3,0.295186,0.9218,0.39451,0.888587,0.888847,39.709
4,0.253003,0.926329,0.412311,0.872283,0.869508,39.818
5,0.200225,0.939614,0.375352,0.880435,0.879143,40.209
6,0.170875,0.950483,0.46234,0.855978,0.854635,39.88
7,0.14573,0.961051,0.404629,0.866848,0.865973,39.603
8,0.125376,0.967995,0.372196,0.883152,0.882276,39.767
9,0.110083,0.972222,0.398049,0.875,0.873841,39.79
10,0.092081,0.977959,0.391779,0.872283,0.871412,39.897
11,0.095952,0.975242,0.429353,0.847826,0.844558,39.996
12,0.094178,0.975242,0.401005,0.872283,0.870721,39.712
13,0.081804,0.980374,0.36373,0.883152,0.884305,39.612
14,0.080833,0.977053,0.474887,0.855978,0.854284,39.863
15,0.067539,0.983092,0.361693,0.883152,0.882963,40.188
16,0.067202,0.980978,0.440983,0.872283,0.871372,41.688
17,0.066281,0.983394,0.40047,0.861413,0.861642,40.996
18,0.067294,0.977959,0.516389,0.861413,0.8623,41.142
19,0.077848,0.976751,0.516605,0.861413,0.863018,41.502
20,0.056675,0.984903,0.423626,0.875,0.875217,40.556
21,0.047015,0.987621,0.420277,0.869565,0.869315,39.558
22,0.050054,0.985809,0.447532,0.869565,0.87265,39.633
23,0.049464,0.985809,0.489542,0.861413,0.862657,39.641
24,0.058426,0.981582,0.538135,0.866848,0.866596,39.651
25,0.060229,0.983998,0.49571,0.847826,0.847127,41.137
26,0.062568,0.981582,0.511054,0.847826,0.842585,39.916
27,0.075638,0.973732,0.532673,0.836957,0.834537,39.445
28,0.085447,0.975543,0.515366,0.858696,0.856967,39.369
29,0.065399,0.98128,0.479215,0.869565,0.867924,39.397
