epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.741834,0.048193,3.293589,0.154891,0.118445,10.647
1,3.106834,0.210843,2.803861,0.26087,0.218455,10.215
2,2.542216,0.424699,2.146261,0.475543,0.442871,10.204
3,1.917982,0.665663,1.60596,0.570652,0.538104,10.204
4,1.535296,0.768072,1.326338,0.638587,0.627074,10.078
5,1.232796,0.828313,1.340426,0.668478,0.657726,10.207
6,0.971166,0.85241,1.389084,0.663043,0.651855,10.536
7,0.815541,0.924699,1.252662,0.720109,0.714513,10.259
8,0.667491,0.948795,1.123755,0.717391,0.71114,10.768
9,0.586429,0.945783,1.050746,0.730978,0.728614,10.117
10,0.482966,0.957831,0.985787,0.736413,0.734545,10.084
11,0.428471,0.96988,0.967497,0.747283,0.74496,10.085
12,0.376273,0.972892,0.960265,0.741848,0.745873,10.087
13,0.322848,0.987952,0.887869,0.766304,0.766862,10.111
14,0.289208,0.98494,0.866308,0.766304,0.763399,10.061
15,0.263321,0.990964,0.87161,0.769022,0.765085,10.035
16,0.229017,0.990964,0.866799,0.736413,0.737809,10.152
17,0.218736,0.978916,0.853391,0.771739,0.774638,10.126
18,0.182011,0.993976,0.862515,0.769022,0.771871,10.227
19,0.168098,0.993976,0.817647,0.807065,0.809521,10.229
20,0.161564,0.993976,0.77511,0.807065,0.807265,10.139
21,0.136006,0.996988,0.789589,0.779891,0.77904,10.206
22,0.127472,0.993976,0.791638,0.771739,0.767147,10.036
23,0.11985,0.993976,0.805852,0.752717,0.753025,10.053
24,0.116594,1.0,0.788676,0.763587,0.765089,10.021
25,0.100569,1.0,0.768922,0.777174,0.77828,10.092
26,0.098553,0.996988,0.753098,0.777174,0.77725,10.426
27,0.097926,0.996988,0.77655,0.785326,0.781557,10.143
28,0.095281,0.996988,0.820387,0.752717,0.751804,10.189
29,0.094361,1.0,0.795926,0.755435,0.754415,10.29
