epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.780039,0.054217,3.258191,0.146739,0.103773,9.089
1,2.972167,0.262048,2.372219,0.418478,0.38015,9.132
2,2.121434,0.584337,1.526712,0.538043,0.521013,9.06
3,1.523782,0.753012,1.386405,0.567935,0.53759,8.957
4,1.14207,0.804217,1.398992,0.595109,0.584064,8.958
5,0.883719,0.85241,1.290618,0.673913,0.661848,8.941
6,0.686334,0.912651,1.128646,0.722826,0.717823,9.048
7,0.533907,0.915663,1.017506,0.725543,0.718754,9.045
8,0.434216,0.951807,0.980183,0.717391,0.708421,9.103
9,0.372399,0.972892,0.908992,0.730978,0.730482,9.044
10,0.272568,0.990964,0.887064,0.73913,0.734789,9.707
11,0.255405,0.978916,0.880456,0.741848,0.739513,9.216
12,0.214046,0.996988,0.907095,0.730978,0.729229,9.177
13,0.186092,0.98494,0.874615,0.733696,0.734748,9.177
14,0.168433,0.990964,0.857523,0.733696,0.734655,9.27
15,0.145024,0.996988,0.816677,0.755435,0.754499,9.082
16,0.128536,0.990964,0.81659,0.752717,0.742976,9.095
17,0.118212,0.98494,0.879897,0.725543,0.713481,9.152
18,0.100601,1.0,0.875863,0.73913,0.732426,9.088
19,0.080513,1.0,0.902963,0.741848,0.743293,9.259
20,0.064047,1.0,0.877216,0.741848,0.743818,8.801
21,0.072982,1.0,0.833763,0.747283,0.748735,9.261
22,0.054635,1.0,0.806681,0.752717,0.753696,9.105
23,0.04963,1.0,0.80964,0.763587,0.763368,8.931
24,0.051393,0.996988,0.810785,0.755435,0.752853,8.925
25,0.049065,1.0,0.91971,0.728261,0.727627,8.69
26,0.049271,0.996988,0.862537,0.755435,0.753605,8.929
27,0.048697,0.996988,0.810101,0.76087,0.756791,8.941
28,0.042627,1.0,0.855595,0.736413,0.73469,8.832
29,0.055834,0.996988,0.800584,0.733696,0.734668,9.224
