epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.886288,0.033133,3.830988,0.019022,0.011184,17.448
1,3.785313,0.024096,3.765373,0.021739,0.015158,17.192
2,3.715794,0.042169,3.707836,0.032609,0.022351,17.097
3,3.646628,0.039157,3.65885,0.05163,0.030744,17.212
4,3.594707,0.066265,3.613559,0.065217,0.039238,17.228
5,3.393609,0.108434,3.051787,0.233696,0.193714,17.957
6,2.636742,0.5,2.57874,0.391304,0.368063,17.992
7,2.138451,0.728916,2.205984,0.480978,0.459028,17.992
8,1.686902,0.846386,1.940394,0.538043,0.510591,17.967
9,1.367995,0.903614,1.774056,0.57337,0.552307,18.364
10,1.147554,0.933735,1.580408,0.657609,0.646239,18.671
11,0.833584,0.96988,1.451692,0.69837,0.692231,18.643
12,0.620496,0.98494,1.38053,0.725543,0.723914,18.713
13,0.490164,0.987952,1.326519,0.736413,0.737558,18.601
14,0.392571,1.0,1.246452,0.730978,0.731611,18.636
15,0.319087,1.0,1.197241,0.747283,0.742746,19.42
16,0.202304,1.0,1.133455,0.741848,0.740451,19.422
17,0.149603,1.0,1.088851,0.73913,0.739511,19.537
18,0.134073,1.0,1.059603,0.758152,0.756828,19.394
19,0.095119,1.0,1.036228,0.763587,0.76232,19.393
20,0.076499,1.0,1.033041,0.73913,0.73975,19.429
21,0.067874,1.0,1.026814,0.741848,0.738753,19.537
22,0.052663,1.0,1.010331,0.741848,0.738671,19.579
23,0.044953,1.0,0.990863,0.752717,0.750433,19.395
24,0.037883,1.0,0.969636,0.75,0.746389,19.367
25,0.035597,1.0,0.955328,0.758152,0.756377,20.473
26,0.032862,1.0,0.958372,0.75,0.745867,19.984
27,0.030496,1.0,0.961613,0.758152,0.754276,19.742
28,0.026811,1.0,0.95467,0.76087,0.754879,19.508
29,0.021504,1.0,0.959512,0.747283,0.741339,20.158
