epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.764253,0.036145,3.315071,0.127717,0.113584,9.548
1,3.11345,0.246988,2.783659,0.30163,0.285845,9.433
2,2.516746,0.460843,2.167082,0.445652,0.413299,9.556
3,1.962195,0.623494,1.64199,0.586957,0.576484,9.737
4,1.530137,0.75,1.391469,0.630435,0.629691,9.287
5,1.220445,0.840361,1.339296,0.660326,0.658234,9.283
6,1.000861,0.85241,1.288551,0.673913,0.66949,9.814
7,0.823948,0.885542,1.258666,0.69837,0.682498,9.816
8,0.706822,0.912651,1.248008,0.679348,0.676701,9.606
9,0.612878,0.939759,1.167216,0.717391,0.716286,9.584
10,0.52273,0.954819,1.1191,0.692935,0.688563,8.984
11,0.503805,0.948795,1.018669,0.75,0.746572,9.094
12,0.407273,0.972892,0.964432,0.736413,0.729786,9.123
13,0.364689,0.972892,0.912631,0.763587,0.761617,8.948
14,0.304948,0.987952,0.895926,0.76087,0.760786,9.14
15,0.317119,0.975904,0.910824,0.747283,0.747929,9.012
16,0.266711,0.98494,0.92692,0.733696,0.732489,9.007
17,0.254369,0.987952,0.910219,0.722826,0.720533,9.016
18,0.217831,0.990964,0.882204,0.75,0.748176,9.032
19,0.19007,0.993976,0.851536,0.766304,0.766299,8.943
20,0.185901,1.0,0.853451,0.790761,0.792356,8.988
21,0.174792,0.996988,0.851018,0.752717,0.753348,9.013
22,0.16374,0.996988,0.820489,0.774457,0.775012,8.961
23,0.140086,0.996988,0.828465,0.752717,0.75202,9.012
24,0.128385,0.996988,0.8358,0.758152,0.756069,9.034
25,0.116868,1.0,0.817925,0.75,0.749232,9.073
26,0.116354,0.993976,0.788811,0.769022,0.769705,8.968
27,0.105231,1.0,0.822261,0.758152,0.762512,8.95
28,0.108759,1.0,0.826437,0.752717,0.756395,9.05
29,0.085387,1.0,0.832926,0.75,0.747936,8.946
