epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.622032,0.062198,3.349449,0.125,0.102781,40.471
1,3.047787,0.228865,2.661073,0.350543,0.318262,40.502
2,2.41451,0.470411,2.056629,0.5625,0.541223,40.403
3,1.950116,0.625604,1.731751,0.6875,0.678213,40.167
4,1.635436,0.717391,1.49581,0.717391,0.707208,40.561
5,1.407364,0.758152,1.337707,0.755435,0.755362,40.775
6,1.252715,0.783816,1.195745,0.769022,0.765503,40.462
7,1.123729,0.804046,1.065826,0.804348,0.803549,40.807
8,1.014765,0.82035,0.982937,0.8125,0.811568,40.096
9,0.939697,0.832126,0.917269,0.815217,0.8138,40.091
10,0.857158,0.847826,0.855517,0.834239,0.834272,39.884
11,0.79349,0.851449,0.800195,0.834239,0.834003,40.066
12,0.749879,0.855374,0.759883,0.847826,0.848284,40.031
13,0.707267,0.863225,0.729341,0.847826,0.847504,40.748
14,0.659506,0.868357,0.690039,0.845109,0.845412,39.862
15,0.6275,0.881643,0.654409,0.850543,0.851641,40.392
16,0.595095,0.872886,0.630998,0.861413,0.862118,40.025
17,0.567809,0.882246,0.608257,0.858696,0.859852,39.353
18,0.533874,0.8907,0.581855,0.869565,0.870038,39.704
19,0.508894,0.900664,0.562526,0.872283,0.872725,40.317
20,0.494117,0.898249,0.554852,0.872283,0.872788,39.456
21,0.490934,0.893418,0.53849,0.866848,0.867783,39.575
22,0.458964,0.902174,0.521365,0.866848,0.866784,40.342
23,0.434918,0.907005,0.518749,0.866848,0.867694,40.31
24,0.427102,0.907609,0.505132,0.866848,0.867307,39.761
25,0.413395,0.910628,0.487517,0.880435,0.881719,40.247
26,0.405048,0.907911,0.478435,0.877717,0.87862,42.081
27,0.394798,0.915459,0.472523,0.875,0.875886,41.364
28,0.37218,0.920592,0.458187,0.888587,0.88872,41.434
29,0.362181,0.923611,0.453134,0.891304,0.891305,41.62
