epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.856179,0.027108,3.892881,0.019022,0.009101,8.804
1,3.819461,0.03012,3.832317,0.029891,0.019825,8.502
2,3.774773,0.027108,3.772407,0.021739,0.012697,8.455
3,3.74158,0.033133,3.733726,0.038043,0.023216,8.444
4,3.705225,0.036145,3.686533,0.043478,0.028407,8.42
5,3.644734,0.045181,3.626406,0.048913,0.031377,8.58
6,3.559157,0.066265,3.5524,0.067935,0.047265,8.493
7,3.486068,0.081325,3.468781,0.076087,0.054883,8.564
8,3.383439,0.096386,3.364987,0.095109,0.074448,8.539
9,3.274297,0.126506,3.244,0.105978,0.082903,8.435
10,3.131824,0.123494,3.117267,0.127717,0.097125,8.416
11,3.019087,0.165663,2.982441,0.146739,0.116732,8.356
12,2.883629,0.204819,2.854638,0.201087,0.163696,8.498
13,2.725889,0.246988,2.753376,0.217391,0.176926,8.561
14,2.627683,0.295181,2.624244,0.26087,0.210755,8.466
15,2.493573,0.28012,2.519765,0.285326,0.242473,8.487
16,2.355308,0.346386,2.417662,0.317935,0.288408,8.396
17,2.238551,0.355422,2.310755,0.358696,0.327839,8.554
18,2.12017,0.445783,2.229892,0.372283,0.343552,8.416
19,1.994535,0.463855,2.126379,0.404891,0.368196,8.516
20,1.898952,0.512048,2.029428,0.429348,0.403101,8.541
21,1.792353,0.554217,1.951372,0.459239,0.443682,8.578
22,1.72962,0.569277,1.887725,0.451087,0.433603,8.51
23,1.687852,0.563253,1.838509,0.456522,0.43833,8.439
24,1.563923,0.587349,1.736012,0.513587,0.493552,8.47
25,1.475694,0.626506,1.687415,0.529891,0.509653,8.479
26,1.43839,0.608434,1.620424,0.538043,0.516839,8.396
27,1.377184,0.638554,1.591961,0.535326,0.509372,8.639
28,1.299893,0.665663,1.527004,0.570652,0.548364,8.405
29,1.244684,0.671687,1.490112,0.548913,0.525769,8.559
