epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.790215,0.027108,3.372719,0.089674,0.075415,10.058
1,3.203575,0.171687,3.027556,0.19837,0.148565,9.872
2,2.808207,0.340361,2.682451,0.380435,0.364111,9.897
3,2.410405,0.536145,2.399593,0.44837,0.42975,9.833
4,2.054624,0.668675,2.141295,0.576087,0.551688,9.695
5,1.707363,0.795181,1.890125,0.625,0.609074,9.861
6,1.459138,0.834337,1.637825,0.679348,0.669709,9.855
7,1.223429,0.885542,1.473836,0.720109,0.718822,9.797
8,1.054275,0.900602,1.375047,0.720109,0.719025,9.855
9,0.890157,0.936747,1.298147,0.720109,0.713825,9.748
10,0.798629,0.948795,1.229648,0.73913,0.729783,9.699
11,0.713457,0.954819,1.174921,0.733696,0.73181,9.748
12,0.636207,0.957831,1.101743,0.769022,0.765339,9.861
13,0.556059,0.96988,1.046784,0.788043,0.789362,9.828
14,0.502807,0.972892,1.024144,0.766304,0.768161,9.906
15,0.449857,0.981928,0.982283,0.763587,0.763555,9.868
16,0.415262,0.978916,0.972447,0.75,0.752041,9.732
17,0.36402,0.990964,0.915421,0.788043,0.788086,9.931
18,0.335206,0.993976,0.87959,0.790761,0.790779,10.292
19,0.316547,0.993976,0.838105,0.820652,0.818704,10.433
20,0.298154,0.993976,0.824771,0.820652,0.819463,10.344
21,0.272256,0.990964,0.825139,0.798913,0.800141,10.726
22,0.270131,0.990964,0.838967,0.790761,0.796577,9.946
23,0.228365,0.993976,0.81781,0.785326,0.789902,10.694
24,0.21177,0.996988,0.806456,0.785326,0.789033,10.478
25,0.216187,0.996988,0.771135,0.796196,0.797827,10.099
26,0.184317,1.0,0.765806,0.807065,0.808848,10.038
27,0.172648,0.993976,0.751977,0.807065,0.811264,9.735
28,0.154617,1.0,0.741153,0.798913,0.802338,9.697
29,0.166298,1.0,0.738515,0.798913,0.802161,9.692
