epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.693086,0.041667,3.380267,0.130435,0.086562,36.585
1,2.825795,0.221316,2.322384,0.339674,0.277179,35.367
2,1.882943,0.460145,1.603523,0.502717,0.483832,36.098
3,1.32941,0.616546,1.235159,0.63587,0.62327,35.894
4,1.061224,0.682367,1.033621,0.682065,0.675895,35.777
5,0.906265,0.727355,0.948018,0.703804,0.698066,35.655
6,0.819951,0.743659,0.869319,0.73913,0.739708,35.632
7,0.750096,0.770833,0.819333,0.736413,0.735936,36.091
8,0.713252,0.782609,0.815721,0.741848,0.744711,35.569
9,0.683172,0.788647,0.769146,0.771739,0.769843,34.624
10,0.63908,0.802536,0.730253,0.779891,0.779193,34.55
11,0.625911,0.806461,0.709928,0.779891,0.783398,36.023
12,0.616069,0.809179,0.695092,0.774457,0.775992,35.66
13,0.571073,0.815519,0.678834,0.788043,0.789727,37.19
14,0.570497,0.816727,0.68278,0.779891,0.780892,36.078
15,0.55089,0.820652,0.671919,0.796196,0.797518,36.258
16,0.540597,0.820954,0.683216,0.807065,0.808485,36.173
17,0.527001,0.821256,0.648316,0.798913,0.799498,36.0
18,0.514064,0.82337,0.673544,0.796196,0.79622,36.492
19,0.502772,0.835145,0.672844,0.793478,0.793893,31.971
20,0.496053,0.836051,0.636361,0.80163,0.803007,31.644
21,0.496328,0.836655,0.636698,0.796196,0.797647,31.728
22,0.494582,0.830314,0.625449,0.820652,0.820255,31.832
23,0.460303,0.852959,0.650442,0.8125,0.813171,34.382
24,0.453529,0.844505,0.638458,0.809783,0.810717,32.599
25,0.465869,0.848128,0.634126,0.788043,0.789145,32.698
26,0.464135,0.852657,0.635534,0.80163,0.803641,32.812
27,0.465229,0.848732,0.627815,0.80163,0.802418,34.101
28,0.437324,0.850242,0.621935,0.80163,0.800618,32.151
29,0.447115,0.843599,0.59957,0.820652,0.820151,32.691
