epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.806864,0.042169,3.366598,0.105978,0.093747,18.595
1,3.224108,0.174699,3.01631,0.203804,0.181744,17.678
2,2.804726,0.319277,2.71215,0.320652,0.299979,17.67
3,2.428181,0.512048,2.419723,0.478261,0.464626,19.071
4,2.087079,0.671687,2.176204,0.5625,0.550423,17.466
5,1.816612,0.759036,1.994069,0.5625,0.548475,17.346
6,1.597058,0.783133,1.830309,0.616848,0.5974,17.46
7,1.439389,0.828313,1.703301,0.63587,0.622744,17.94
8,1.260516,0.873494,1.590448,0.657609,0.64695,17.428
9,1.132138,0.879518,1.479035,0.684783,0.676598,17.755
10,0.980947,0.912651,1.396716,0.701087,0.691959,17.481
11,0.927887,0.918675,1.338372,0.690217,0.689527,17.524
12,0.830861,0.927711,1.270472,0.714674,0.71442,17.502
13,0.767648,0.933735,1.221414,0.717391,0.71895,17.547
14,0.726215,0.924699,1.160642,0.73913,0.738703,18.853
15,0.634071,0.954819,1.149982,0.744565,0.738323,17.713
16,0.599416,0.963855,1.121959,0.733696,0.721154,17.515
17,0.543946,0.972892,1.092788,0.728261,0.730018,17.905
18,0.529384,0.963855,1.072482,0.728261,0.735587,17.928
19,0.51035,0.963855,1.029353,0.736413,0.742436,17.51
