epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,2.165839,0.532005,1.042209,0.798913,0.791448,47.036
1,0.755454,0.868659,0.630393,0.891304,0.891273,46.189
2,0.433032,0.922403,0.469376,0.894022,0.893076,45.709
3,0.271763,0.955616,0.419913,0.904891,0.903456,45.818
4,0.189062,0.971618,0.387768,0.899457,0.898521,46.105
5,0.125456,0.987923,0.359146,0.915761,0.915521,46.186
6,0.095398,0.990036,0.348299,0.907609,0.90822,46.397
7,0.067975,0.996377,0.349151,0.904891,0.904974,46.917
8,0.049986,0.997585,0.316448,0.913043,0.912505,45.41
9,0.04006,0.998188,0.346203,0.894022,0.893468,50.621
10,0.033814,0.997886,0.337434,0.913043,0.911921,49.03
11,0.028739,0.998188,0.304237,0.902174,0.901511,47.178
12,0.024255,0.998188,0.311591,0.907609,0.907123,46.004
13,0.018769,0.999396,0.325862,0.921196,0.921235,46.228
14,0.017827,0.999396,0.313256,0.910326,0.909685,46.055
15,0.013182,0.999094,0.31575,0.907609,0.906998,46.009
16,0.012486,1.0,0.322224,0.896739,0.895144,46.156
17,0.010549,1.0,0.294923,0.907609,0.905925,46.054
18,0.01093,0.999396,0.295394,0.915761,0.913959,46.226
19,0.010758,0.999698,0.306428,0.907609,0.906993,47.097
20,0.011384,0.999094,0.29886,0.913043,0.912087,46.073
21,0.00764,0.999698,0.300416,0.923913,0.923543,45.814
22,0.007477,1.0,0.319618,0.904891,0.905179,46.043
23,0.013819,0.997283,0.366779,0.896739,0.892209,45.987
24,0.007912,1.0,0.322389,0.902174,0.901965,46.483
25,0.006757,1.0,0.315227,0.902174,0.901494,45.878
26,0.006527,0.999698,0.305866,0.910326,0.909561,45.927
27,0.004732,1.0,0.307052,0.913043,0.912568,48.723
28,0.006157,0.999094,0.346763,0.902174,0.900602,47.799
29,0.012111,0.997585,0.337737,0.913043,0.912269,47.797
