epoch,train_loss,train_top1,val_loss,val_top1,val_macro_f1,epoch_time_seconds
0,3.872939,0.027108,3.891029,0.016304,0.005847,8.716
1,3.844805,0.03012,3.842386,0.019022,0.010582,8.728
2,3.79963,0.024096,3.790554,0.035326,0.017689,8.535
3,3.755979,0.027108,3.750784,0.032609,0.017681,8.739
4,3.72532,0.027108,3.716591,0.035326,0.025096,8.653
5,3.675627,0.039157,3.665078,0.043478,0.030044,8.437
6,3.635121,0.039157,3.606,0.05163,0.028439,8.523
7,3.566641,0.048193,3.53586,0.067935,0.037559,8.522
8,3.49224,0.084337,3.459232,0.067935,0.040285,8.613
9,3.41369,0.078313,3.379397,0.070652,0.046621,8.466
10,3.32596,0.063253,3.300571,0.086957,0.060646,8.468
11,3.237768,0.096386,3.215816,0.092391,0.061975,8.37
12,3.170896,0.093373,3.134063,0.092391,0.063716,8.438
13,3.059184,0.138554,3.061426,0.116848,0.087684,8.358
14,3.000897,0.150602,3.002334,0.133152,0.101243,8.534
15,2.963035,0.14759,2.953441,0.13587,0.10332,8.543
16,2.871534,0.156627,2.870853,0.138587,0.113631,8.524
17,2.811037,0.13253,2.811539,0.146739,0.121114,8.433
18,2.771664,0.153614,2.766711,0.146739,0.122042,8.367
19,2.713124,0.174699,2.724695,0.157609,0.134407,8.437
20,2.650417,0.168675,2.680287,0.160326,0.135453,8.355
21,2.628751,0.207831,2.653277,0.171196,0.147821,8.504
22,2.561045,0.195783,2.617057,0.173913,0.15524,8.541
23,2.538163,0.192771,2.56485,0.192935,0.180839,8.479
24,2.495551,0.168675,2.544276,0.190217,0.175313,8.5
25,2.459964,0.216867,2.514459,0.19837,0.174167,8.405
26,2.441656,0.225904,2.476915,0.214674,0.184916,8.422
27,2.41481,0.237952,2.439362,0.217391,0.18392,8.422
28,2.359612,0.25,2.430587,0.228261,0.198902,8.445
29,2.30517,0.274096,2.398894,0.233696,0.196404,8.539
